skills;skills_ai_det;skills_hasai_det;desc_tier_llm;desc_conf_llm;ai_confidence;desc_ai_llm;is_real_ai;hardskills;softskills;edu_level_det;edulevel_llm;experience_min_llm;ai_det_llm_match;desc_hard_det;desc_soft_det;desc_hard_llm;desc_soft_llm;id;job_title;location;company_id;company;age_in_days;pay_currency;pay_period;salary_min;salary_mid;salary_max;rating;discover_date;job_types;remote_work_types;city;state;country;latitude;longitude;ceo;headquarters;industry;sector;revenue;size;type;year_founded;region;job_family;sector_nace;cluster_architecture__methods;cluster_bi__analytics;cluster_backend_development;cluster_certifications;cluster_cloud_computing;cluster_data_analysis__stats;cluster_data_engineering;cluster_data_science__ml;cluster_databases__storage;cluster_devops__containers;cluster_dynamic__web;cluster_enterprise__managed;cluster_enterprise_platforms;cluster_frontend_development;cluster_generative_ai;cluster_legacy__mainframe;cluster_mobile__desktop;cluster_networking;cluster_os__embedded;cluster_scripting__shell;cluster_security__identity;cluster_systems_programming;cluster_testing_qa__debugging;cluster_tools__editors;skill_cluster;website
CI/CD, Signal processing, FPGA, English;;0;none;0.8;0.8;AI;0;ci/cd, continuous deployment, continuous integration, linux, software engineering;innovation;master;Bachelor's;-;1;ci/cd, continuous deployment, continuous integration, linux, software engineering;innovation;;;7472;Embedded Linux Software Engineer (m/w/d);Home office;3140348.0;Media Broadcast Satellite GmbH;5;EUR;;;;;2.6;2025-10-22T00:00:00;Full-time;WORK_FROM_HOME;;;Portugal;39.5;-8.0;;Usingen, Deutschland;Telekommunikationsdienstleistungen;Telekommunikation;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
English, C++, C, Software development, German;;0;none;0.8;0.8;;0;c++, linux, software engineering, uml;flexibility, innovation, mentoring;;-;5;1;c++, linux, software engineering, uml;flexibility, innovation, mentoring;;;7473;Embedded Software Engineer (Linux) (m/w/d);München;1112927.0;Comlet Verteilte Systeme GmbH;62;EUR;;;;;3.8;2025-10-26T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;Steffen Fromm;Zweibrücken, Deutschland;;;5 bis 25 Millionen $ (USD);51 bis 200 Mitarbeiter;Unbekannt;2001.0;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;
Embedded software, Software development, Debugging;;0;none;0.8;0.8;;0;debugging, segment, software engineering, solid;autonomous, collaboration, cross-functional collaboration, flexibility, innovation, mentoring;;-;5;1;debugging, segment, software engineering, solid;autonomous, collaboration, cross-functional collaboration, flexibility, innovation, mentoring;;;7474;(Senior) Embedded Software Engineer (m/f/d);Neumünster;134544.0;Danfoss;5;EUR;;;;;3.8;2025-10-21T00:00:00;Full-time;;Neumünster;Schleswig-Holstein;Germany;54.069897;9.988422;Kim Fausing;Nordborg, Dänemark;Fertigungsbetriebe;Produktion;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1933.0;Unknown;Systems & Embedded;C;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
English, C++, C, Software development, German;;0;none;0.8;0.8;;0;c++, software engineering, ux;flexibility, innovation;;-;5;1;c++, software engineering, ux;flexibility, innovation;;;7475;Embedded Software Engineer Smart Cabin (m/w/d);Reutlingen;2901747.0;Krämer Automotive Systems;40;EUR;;;;;2.0;2025-10-17T00:00:00;Full-time;;Reutlingen;Baden-Württemberg;Germany;48.49208;9.212006;Hans-Peter Schmidt ;Reutlingen, Deutschland;Softwareentwicklung;Informationstechnologie;Unbekannt/Nicht zutreffend;51 bis 200 Mitarbeiter;Privatunternehmen;2006.0;Unknown;Systems & Embedded;J;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;;
Git, English, C++, C, Embedded software, German;;0;none;0.8;0.8;;0;c++, debugging, git;innovation;bachelor;Bachelor's;3;1;c++, debugging, git;innovation;;;7476;Embedded Software Engineer (m/w/d) Sensoren;Reutlingen;1141851.0;Da Vinci Engineering GmbH;10;EUR;;;;;3.6;2025-10-17T00:00:00;;;Reutlingen;Baden-Württemberg;Germany;48.49208;9.212006;Massimiliano Cava;Stuttgart, Deutschland;Forschung & Entwicklung;Management & Beratung;25 bis 100 Millionen $ (USD);501 bis 1.000 Mitarbeiter;Privatunternehmen;2005.0;Unknown;Systems & Embedded;M;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;
Jira, Git, English, C++, C, Cybersecurity, Communication skills, German;;0;none;0.8;0.8;;0;c++, cybersecurity, git, https, jira, uml;communication, cross-functional collaboration;;-;-;1;c++, cybersecurity, git, https, jira, uml;communication, cross-functional collaboration;;;7477;Embedded Software Engineer (m/w/d);Hamburg;12.0;Abbott Laboratories;49;EUR;;;;;3.8;2025-10-08T00:00:00;Full-time;;Hamburg;Hamburg;Germany;53.55068;9.99697;Robert Ford;Abbott Park, Vereinigte Staaten von Amerika;Herstellung von Gesundheitsprodukten;Produktion;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1888.0;Unknown;Systems & Embedded;C;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;;
CI/CD, Visual Studio, Git, English, C++, C, Eclipse, German;;0;none;0.8;0.8;;0;c++, ci/cd, continuous integration, eclipse, git, linux, visual studio, windows;;;-;3;1;c++, ci/cd, continuous integration, eclipse, git, linux, visual studio, windows;;;;7478;Softwareentwickler C++/ Embedded Engineer (m/w/d);Bremen;629797.0;OHB System AG;330;EUR;;;;;3.6;2025-10-01T00:00:00;;;Bremen;Bremen;Germany;53.075607;8.809338;Marco R. Fuchs;Bremen, Deutschland;Luftfahrt & Verteidigung;Luft- & Raumfahrt, Verteidigung;100 bis 500 Millionen $ (USD);501 bis 1.000 Mitarbeiter;Aktiengesellschaft;;Unknown;Systems & Embedded;C;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;1;0;1;;
MATLAB, English, C++, Software development, German;;0;none;0.8;0.8;;0;c++, matlab, software engineering;innovation;;-;-;1;c++, matlab, software engineering;innovation;;;7479;Embedded Software Engineer für hochentwickelte und komplexe Systeme (m/w/d);Hamburg;9433603.0;NORD Engineering Müller GmbH;256;EUR;;;;;-0.100000001;2025-10-13T00:00:00;Full-time;;Hamburg;Hamburg;Germany;53.55068;9.99697;;Norderstedt, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
Embedded software, Software development, Leadership, Debugging;;0;none;0.8;0.8;;0;debugging, segment, software engineering, solid;autonomous, collaboration, communication, cross-functional collaboration, flexibility, innovation, leadership, mentoring, stakeholder management;;-;7;1;debugging, segment, software engineering, solid;autonomous, collaboration, communication, cross-functional collaboration, flexibility, innovation, leadership, mentoring, stakeholder management;;;7480;Lead Embedded Software Engineer (m/f/d);Neumünster;134544.0;Danfoss;5;EUR;;;;;3.8;2025-10-21T00:00:00;Full-time;;Neumünster;Schleswig-Holstein;Germany;54.069897;9.988422;Kim Fausing;Nordborg, Dänemark;Fertigungsbetriebe;Produktion;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1933.0;Unknown;Systems & Embedded;C;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;;
C#, English, C++, C, Software development, German;;0;none;0.8;0.8;;0;c#, c++, software engineering;flexibility;;-;3;1;c#, c++, software engineering;flexibility;;;7481;Software Engineer – Embedded;Feldkirchen;5726283.0;Keil KTM GmbH;337;EUR;;;;;-0.100000001;2025-10-24T00:00:00;Full-time;;Feldkirchen;Bayern;Germany;48.147038;11.729618;;Feldkirchen, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;;
Operating systems, English, C++, C, Software development, German;;0;none;0.8;0.8;;0;c++, linux, requests, scrum, software engineering;flexibility;;-;7;1;c++, linux, requests, scrum, software engineering;flexibility;;;7482;LEAD SOFTWARE-ENGINEER EMBEDDED (m/w/d) in Konstanz;Konstanz;8399674.0;MESA Systemtechnik GmbH;83;EUR;;;;;-0.100000001;2025-10-05T00:00:00;;;Konstanz;Baden-Württemberg;Germany;47.662758;9.175957;;Konstanz, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;
MATLAB, English, C++, Linux, German;;0;none;0.8;0.8;;0;c++, linux, matlab, software engineering;flexibility, innovation;;Master's;5;1;c++, linux, matlab, software engineering;flexibility, innovation;;;7483;(Senior) Embedded Software Engineer (m/w/d);Bensheim;1438.0;Dentsply Sirona, Inc;3;EUR;;;;;3.3;2025-10-24T00:00:00;;;Bensheim;Hessen;Germany;49.679806;8.618986;Dan Scavilla;Charlotte, Vereinigte Staaten von Amerika;Herstellung von Gesundheitsprodukten;Produktion;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1899.0;Unknown;Systems & Embedded;C;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;
Go, Kubernetes, C++, Docker, GraphQL, Python;;0;none;0.8;0.8;AI;0;api, c++, docker, frontend development, full stack, golang, graphql, javascript, kubernetes, orchestration, python, react, safe, software engineering;flexibility, initiative, ownership, self-starter;;-;3;1;api, c++, docker, frontend development, full stack, golang, graphql, javascript, kubernetes, orchestration, python, react, safe, software engineering;flexibility, initiative, ownership, self-starter;;;7484;Software Engineer;Stuttgart;2598562.0;Applied Intuition;103;EUR;;;;;3.7;2025-10-16T00:00:00;;WORK_FROM_HOME;Stuttgart;Baden-Württemberg;Germany;48.775818;9.177734;Qasar Younis;Mountain View, Vereinigte Staaten von Amerika;Unternehmenssoftware & Netzwerklösungen;Informationstechnologie;Unbekannt/Nicht zutreffend;201 bis 500 Mitarbeiter;Privatunternehmen;2017.0;Unknown;Software Engineer;J;1;0;1;0;0;0;1;0;0;1;1;0;0;1;0;0;0;0;0;0;0;1;0;0;;
Rust, Schematics, Data structures, C, Unit testing, Python;;0;none;0.8;0.8;;0;debugging, optimization, python, rust, storage, unit testing;communication, innovation;;Bachelor's;5;1;debugging, optimization, python, rust, storage, unit testing;communication, innovation;;;7485;(Senior) Embedded Software / Firmware Engineer - Power Electronics (m/f/d);Freiburg;43129.0;Tesla;87;EUR;;;;;3.5;2025-09-30T00:00:00;Full-time;;Freiburg;Baden-Württemberg;Germany;47.994785;7.849877;Elon Musk;Austin, Vereinigte Staaten von Amerika;Herstellung von Transportmitteln;Produktion;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;2003.0;Unknown;Systems & Embedded;C;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;;
System design, English, Java, C, Software development, Python, German;;0;none;0.6;0.6;;0;java, python, software engineering, system design;flexibility;master;Master's;-;1;java, python, software engineering, system design;flexibility;;;7486;Embedded Software Engineer (all gender);Manching;12800.0;ALTEN Consulting Services GmbH;129;EUR;;;;;3.4;2025-10-20T00:00:00;Full-time;;Manching;Bayern;Germany;48.71709;11.492969;Simon Azoulay;Boulogne-Billancourt, Frankreich;Forschung & Entwicklung;Management & Beratung;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1988.0;Unknown;Systems & Embedded;M;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;;
Jira, Visual Studio, Git, English, C++, Unit testing, Cybersecurity, GitLab, German;;0;none;0.6;0.6;;0;c++, cybersecurity, git, gitlab, jira, unit testing, visual studio;flexibility, innovation;;-;-;1;c++, cybersecurity, git, gitlab, jira, unit testing, visual studio;flexibility, innovation;;;7487;Embedded Software Engineer (w/m/d);Nesselwang;9386452.0;Endress+Hauser Wetzer GmbH +Co. KG;63;EUR;;;;;-0.100000001;2025-10-25T00:00:00;Full-time;;Nesselwang;Bayern;Germany;47.621925;10.500066;;Nesselwang, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;;
Electrical engineering;;0;none;0.6;0.6;;0;;cross-functional collaboration, innovation, teamwork;bachelor;-;-;1;;cross-functional collaboration, innovation, teamwork;;;7488;Embedded engineer;Aachen;8959588.0;Team Tachyon e.V.;39;EUR;;;;;3.0;2025-10-18T00:00:00;;;Aachen;Nordrhein-Westfalen;Germany;50.773518;6.0848;;Aachen, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Hochschule/Universität;;Unknown;Systems & Embedded;Unknown;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
FPGA, English, Software development;;0;none;0.6;0.6;;0;software engineering;flexibility, innovation;;-;-;1;software engineering;flexibility, innovation;;;7489;Embedded Software Engineer in den Bereichen E-Mobility / Industrie und Medizin (m/w/d);Teningen;329842.0;Delta Energy Systems GmbH;166;EUR;;;;;3.7;2025-10-14T00:00:00;Full-time;;Teningen;Baden-Württemberg;Germany;48.126972;7.810263; Yancey Hai;Taoyuan City, Taiwan;Elektronikherstellung;Produktion;Mehr als 10 Milliarden $ (USD);5.001 bis 10.000 Mitarbeiter;Privatunternehmen;;Unknown;Systems & Embedded;C;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Schematics, Assembly, C++, Math, Ethernet, Unit testing;;0;none;0.6;0.6;;0;agile, assembly, c++, chef, ci/cd, debugging, software engineering, solid, storage, unit testing;collaboration, communication, creativity, innovation, integrity, leadership, passion, reliability, teamwork;;Bachelor's;5;1;agile, assembly, c++, chef, ci/cd, debugging, software engineering, solid, storage, unit testing;collaboration, communication, creativity, innovation, integrity, leadership, passion, reliability, teamwork;;;7490;Senior Embedded Software Engineer (C++) (f/m/d);München;3407850.0;Munich Electrification GmbH;338;EUR;;;;;4.8;2025-10-23T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;;München, Deutschland;Herstellung von Transportmitteln;Produktion;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;2015.0;Unknown;Systems & Embedded;C;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;
Jira, Operating systems, Git, English, C++, C, German;;0;none;0.6;0.6;;0;c++, git, jira;;;Bachelor's;5;1;c++, git, jira;;;;7491;Senior Embedded Software Engineer (w/m/d);Karlsruhe;21027.0;Endress+Hauser SE+Co. KG;213;EUR;;;;;4.1;2025-09-28T00:00:00;Full-time;;Karlsruhe;Baden-Württemberg;Germany;49.009644;8.404903;Peter Selders;Reinach, Schweiz;Fertigungsbetriebe;Produktion;1 bis 5 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Privatunternehmen;1953.0;Unknown;Systems & Embedded;C;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
Signal processing, C++;;0;none;0.6;0.6;;0;c++, computer vision, full stack, reporting, software engineering;autonomous;master;-;4;1;c++, computer vision, full stack, reporting, software engineering;autonomous;;;7492;Electronic Warfare Software Engineer (All Genders);Berlin;10771825.0;STARK Systems;68;EUR;;;;;5.0;2025-10-20T00:00:00;Full-time;;Berlin;Berlin;Germany;52.51767;13.405538;;Swindon, Vereinigtes Königreich;;;Unbekannt/Nicht zutreffend;Unbekannt;Aktiengesellschaft;;Unknown;Software Engineer;Unknown;1;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;;
FPGA, Git, C, Computer hardware, Restaurant experience, Python, Debugging;;0;none;0.6;0.6;;0;computer vision, debugging, git, gitlab, python, solid, system design, test automation, version control;collaboration, communication, enthusiasm, flexibility, innovation, reliability, time management;;-;7;1;computer vision, debugging, git, gitlab, python, solid, system design, test automation, version control;collaboration, communication, enthusiasm, flexibility, innovation, reliability, time management;;;7493;Senior Software Engineer - Embedded (all genders);Deutschland;6823468.0;Reflex Aerospace GmbH;40;EUR;;;;;5.0;2025-10-17T00:00:00;Full-time;;;;Germany;51.0;9.0;;Berlin, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;;
C++, C, Embedded software, Linux, Python;;0;ai_integration;0.75;0.75;AI, CUDA;0;c++, debugging, linux, python, soc;autonomous, creativity, interpersonal skills, passion, self-motivated;master;Bachelor's;5;0;c++, debugging, linux, python, soc;autonomous, creativity, interpersonal skills, passion, self-motivated;;;7494;Senior Software Application Engineer - ADAS;Stuttgart;7633.0;NVIDIA;83;EUR;;;;;4.5;2025-10-05T00:00:00;Full-time;;Stuttgart;Baden-Württemberg;Germany;48.775818;9.177734;Jensen Huang ;Santa Clara, Vereinigte Staaten von Amerika;IT-Hardware;Informationstechnologie;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1993.0;Unknown;Sr+ Software Engineer;J;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;1;1;0;;
English, C++, C, Software development, German, Debugging;;0;none;0.6;0.6;;0;c++, debugging, qa, software engineering;;;Bachelor's;-;1;c++, debugging, qa, software engineering;;;;7495;Embedded Systems RTOS Engineer (m/w/d);Hamburg;3029584.0;PICKPLACE Consulting GmbH;111;EUR;ANNUAL;72000.0;77000.0;82000.0;-0.100000001;2025-10-08T00:00:00;;;Hamburg;Hamburg;Germany;53.55068;9.99697;;Hamburg, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;
Git, English, C++, Software development, German;;0;none;0.6;0.6;;0;c++, computer vision, git, linux, segment, software engineering, uml;multitasking, responsibility;;-;-;1;c++, computer vision, git, linux, segment, software engineering, uml;multitasking, responsibility;;;7496;Realtime Embedded Software Entwickler*in (w/m/d);Oberkochen;1623195.0;HENSOLDT Optronics GmbH;83;EUR;;;;;3.8;2025-10-04T00:00:00;;;Oberkochen;Baden-Württemberg;Germany;48.784042;10.105585;Oliver Dörre ;Taufkirchen, Deutschland;Luftfahrt & Verteidigung;Luft- & Raumfahrt, Verteidigung;1 bis 5 Milliarden $ (USD);5.001 bis 10.000 Mitarbeiter;Privatunternehmen;2017.0;Unknown;Systems & Embedded;C;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;
English, C++, C, Software development, Unity, German, Debugging;;0;none;0.6;0.6;;0;c++, debugging, software engineering;innovation;;Bachelor's;7;1;c++, debugging, software engineering;innovation;;;7497;Embedded Software Engineer (m/w/d) – Rotational Rheometers;Karlsruhe;658.0;Thermo Fisher Scientific;79;EUR;;;;;3.5;2025-10-09T00:00:00;Full-time;;Karlsruhe;Baden-Württemberg;Germany;49.009644;8.404903;Marc N. Casper;Waltham, Vereinigte Staaten von Amerika;Biotechnologie & Arzneimittel;Pharmazeutika & Biotechnologie;Mehr als 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1902.0;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;;
English, C++, C, Software development, German;;0;none;0.6;0.6;;0;c++, linux, software engineering;flexibility;;Bachelor's;2;1;c++, linux, software engineering;flexibility;;;7498;Testingenieur/in / Test-Engineer Embedded Software & Hardware (m/w/d);Weidenberg;2894504.0;FOGTEC Brandschutz GmbH;32;EUR;;;;;3.8;2025-10-25T00:00:00;;;Köln;Nordrhein-Westfalen;Germany;50.933594;6.961899;;Köln, Deutschland;;;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Systems & Embedded;Unknown;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;;
Signal processing, Test-driven development, C++, C, Embedded software, Software development, Python, German;;0;none;0.6;0.6;AI;0;c++, debugging, linux, optimization, python, rest, software architecture, software engineering;autonomous, collaboration, communication, cross-functional collaboration, ownership, reliability, teamwork;;-;-;1;c++, debugging, linux, optimization, python, rest, software architecture, software engineering;autonomous, collaboration, communication, cross-functional collaboration, ownership, reliability, teamwork;;;7499;Radar Embedded Engineer (all genders);Lindau (Bodensee);3240258.0;Zendar;73;EUR;ANNUAL;85000.0;97500.0;110000.0;4.5;2025-10-14T00:00:00;Full-time;;Lindau (Bodensee);Bayern;Germany;47.54646;9.684376;;Berkeley, Vereinigte Staaten von Amerika;IT-Hardware;Informationstechnologie;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Privatunternehmen;2017.0;Unknown;Systems & Embedded;J;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;1;0;;
MATLAB, C;;0;none;0.6;0.6;;0;matlab;cross-functional collaboration, innovation, teamwork;master;Bachelor's;-;1;matlab;cross-functional collaboration, innovation, teamwork;;;7500;Senior Embedded engineer;Aachen;8959588.0;Team Tachyon e.V.;39;EUR;;;;;3.0;2025-10-18T00:00:00;;;Aachen;Nordrhein-Westfalen;Germany;50.773518;6.0848;;Aachen, Deutschland;;;Unbekannt/Nicht zutreffend;1 bis 50 Mitarbeiter;Hochschule/Universität;;Unknown;Systems & Embedded;Unknown;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
CI/CD, Ansible, Test automation, Git, Electrical engineering, C++, Docker, C, Embedded software, Ethernet, Scripting, Agile, Linux, Integration testing, Unit testing, Communication skills, Python;;0;none;0.78;0.78;;0;agile, ansible, c++, ci/cd, code review, continuous integration, debugging, docker, foundation, git, integration testing, linux, python, soc, software architecture, software engineering, solid, system integration, test automation, unit testing;collaboration, communication, creativity, flexibility, innovation, passion, problem solving, professionalism, reliability;bachelor;Bachelor's;5;1;agile, ansible, c++, ci/cd, code review, continuous integration, debugging, docker, foundation, git, integration testing, linux, python, soc, software architecture, software engineering, solid, system integration, test automation, unit testing;collaboration, communication, creativity, flexibility, innovation, passion, problem solving, professionalism, reliability;;;7501;Senior Embedded Software Engineer (F/M/D);München;1540928.0;NavVis;33;EUR;;;;;4.2;2025-10-24T00:00:00;;;München;Bayern;Germany;48.13704;11.575529;Felix Reinshagen;München, Deutschland;IT-Hardware;Informationstechnologie;5 bis 25 Millionen $ (USD);201 bis 500 Mitarbeiter;Privatunternehmen;2013.0;Unknown;Systems & Embedded;J;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;;
FPGA, Visual Studio, English, C++, C, Communication skills, Python, German;;0;none;0.75;0.75;;0;c++, ips, python, visual studio;communication, flexibility;;-;-;1;c++, ips, python, visual studio;communication, flexibility;;;7502;Software Design Engineers - Embedded Systems/Grafik (m/f/d);Hamburg;1474823.0;TES Electronic Solutions;200;EUR;;;;;2.2;2025-10-10T00:00:00;Full-time;;Hamburg;Hamburg;Germany;53.55068;9.99697;Juergen Zeller;Stuttgart, Deutschland;Elektronikherstellung;Produktion;Unbekannt/Nicht zutreffend;Unbekannt;Privatunternehmen;;Unknown;Systems & Embedded;C;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;;
CI/CD, MATLAB, Docker, Software development, XSLT, Cybersecurity, Jenkins, GitLab, Python;;0;none;0.7;0.7;;0;ci/cd, cybersecurity, docker, gitlab, gitlab ci, https, jenkins, matlab, python, software engineering;collaboration, innovation, teamwork;;Bachelor's;1;1;ci/cd, cybersecurity, docker, gitlab, gitlab ci, https, jenkins, matlab, python, software engineering;collaboration, innovation, teamwork;;;7503;Embedded Systems Integrator / System Engineer (m/w/d);München;955105.0;Teoresi Group;147;EUR;;;;;3.7;2025-10-02T00:00:00;Full-time;;München;Bayern;Germany;48.13704;11.575529;;Turin, Italien;Softwareentwicklung;Informationstechnologie;Unbekannt/Nicht zutreffend;501 bis 1.000 Mitarbeiter;Privatunternehmen;1987.0;Unknown;Systems & Embedded;J;1;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;;
C#, Test automation, Computer networking, Python, German, AMQP;;0;none;0.75;0.75;;0;c#, networking, python, test automation, test cases;communication, responsibility;;-;-;1;c#, networking, python, test automation, test cases;communication, responsibility;;;7504;Software Embedded Engineer;Frankfurt am Main;;FutureTrack GmbH;19;EUR;ANNUAL;50000.0;65000.0;80000.0;;2025-10-08T00:00:00;Full-time;;Frankfurt am Main;Hessen;Germany;50.11088;8.682433;;;;;;;;;Unknown;Systems & Embedded;Unknown;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;1;0;;
CI/CD, C++, C, Driving, Linux, Python;;0;none;0.7;0.7;AI;1;bash, c++, ci/cd, data science, debugging, deep learning, linux, python, solid, version control;analytical skills, autonomous, communication, flexibility, innovation, problem solving;bachelor;Bachelor's;5;1;bash, c++, ci/cd, data science, debugging, deep learning, linux, python, solid, version control;analytical skills, autonomous, communication, flexibility, innovation, problem solving;;;7505;System Software Integration Engineer;Deutschland;7633.0;NVIDIA;13;EUR;;;;;4.5;2025-10-14T00:00:00;Full-time;;;;Germany;51.0;9.0;Jensen Huang ;Santa Clara, Vereinigte Staaten von Amerika;IT-Hardware;Informationstechnologie;5 bis 10 Milliarden $ (USD);Mehr als 10.000 Mitarbeiter;Aktiengesellschaft;1993.0;Unknown;Software Engineer;J;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;1;1;0;;
FPGA, Git, C++, C, Linux, Leadership;;0;none;0.72;0.72;;0;c++, devops, git, https, linux, solid;coaching, collaboration, communication, independent, leadership, organization, teamwork;;-;5;1;c++, devops, git, https, linux, solid;coaching, collaboration, communication, independent, leadership, organization, teamwork;;;7506;Senior Embedded Linux Software Engineer;Berlin;2600385.0;Ekkiden;47;EUR;;;;;4.0;2025-10-10T00:00:00;Full-time;;Berlin;Berlin;Germany;52.51767;13.405538;Geoffrey Behaghel;Lyon, Frankreich;IT-Kundenbetreuung;Informationstechnologie;1 bis 5 Millionen $ (USD);1 bis 50 Mitarbeiter;Privatunternehmen;2019.0;Unknown;Systems & Embedded;J;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;;
